Postcode,year,total_fleet,bev_count,adoption_rate,SA2_CODE21,SA2_NAME21,STE_NAME21
2008,2024,2821,60.0,0.021269053527118043,117031639,Chippendale,New South Wales
2008,2025,2680,88.0,0.03283582089552239,117031639,Chippendale,New South Wales
2009,2021,6110,22.0,0.003600654664484452,117031641,Pyrmont,New South Wales
2009,2022,6292,42.0,0.006675143038779402,117031641,Pyrmont,New South Wales
2009,2023,6294,85.0,0.013504925325707023,117031641,Pyrmont,New South Wales
2009,2024,6168,159.0,0.025778210116731516,117031641,Pyrmont,New South Wales
2009,2025,6020,194.0,0.03222591362126246,117031641,Pyrmont,New South Wales
2010,2021,10158,37.0,0.0036424493010435125,117031336,Surry Hills,New South Wales
2010,2022,10339,80.0,0.007737692233291421,117031336,Surry Hills,New South Wales
2010,2023,10612,152.0,0.014323407463249152,117031336,Surry Hills,New South Wales
2010,2024,10501,312.0,0.02971145605180459,117031336,Surry Hills,New South Wales
2010,2025,10267,323.0,0.03146001753189832,117031336,Surry Hills,New South Wales
2011,2021,9524,49.0,0.005144897102057959,117031333,Potts Point - Woolloomooloo,New South Wales
2011,2022,9312,70.0,0.007517182130584193,117031333,Potts Point - Woolloomooloo,New South Wales
2011,2023,9521,106.0,0.011133284318874068,117031333,Potts Point - Woolloomooloo,New South Wales
2011,2024,9473,160.0,0.01689010873007495,117031333,Potts Point - Woolloomooloo,New South Wales
2011,2025,8369,287.0,0.03429322499701278,117031333,Potts Point - Woolloomooloo,New South Wales
2015,2021,9317,84.0,0.009015777610818933,117031330,Erskineville - Alexandria,New South Wales
2015,2022,9686,101.0,0.010427421020028908,117031330,Erskineville - Alexandria,New South Wales
2015,2023,10502,153.0,0.01456865358979242,117031330,Erskineville - Alexandria,New South Wales
2015,2024,10714,287.0,0.026787380996826583,117031330,Erskineville - Alexandria,New South Wales
2015,2025,11049,545.0,0.049325730835369716,117031330,Erskineville - Alexandria,New South Wales
2016,2021,5266,10.0,0.0018989745537409798,117031642,Redfern,New South Wales
2016,2022,5281,20.0,0.0037871615224389322,117031642,Redfern,New South Wales
2016,2023,5284,32.0,0.006056018168054504,117031642,Redfern,New South Wales
2016,2024,5285,71.0,0.013434247871333965,117031642,Redfern,New South Wales
2016,2025,5292,120.0,0.022675736961451247,117031642,Redfern,New South Wales
2017,2021,12366,68.0,0.005498948730389778,117031647,Waterloo,New South Wales
2017,2022,12809,77.0,0.006011398235615583,117031647,Waterloo,New South Wales
2017,2023,13092,143.0,0.010922700886037275,117031647,Waterloo,New South Wales
2017,2024,12765,262.0,0.02052487269878574,117031647,Waterloo,New South Wales
2017,2025,12254,456.0,0.03721233882813775,117031647,Waterloo,New South Wales
2018,2021,9516,13.0,0.001366120218579235,117011634,Eastlakes,New South Wales
2018,2022,9921,28.0,0.0028222961395020663,117011634,Eastlakes,New South Wales
2018,2023,10114,63.0,0.006228989519477951,117011634,Eastlakes,New South Wales
2018,2024,10012,135.0,0.01348381941669996,117011634,Eastlakes,New South Wales
2018,2025,9787,206.0,0.021048329416573006,117011634,Eastlakes,New South Wales
2019,2021,10576,15.0,0.001418305597579425,117011321,Botany,New South Wales
2019,2022,10718,14.0,0.0013062138458667662,117011321,Botany,New South Wales
2019,2023,10993,36.0,0.0032748112435186027,117011321,Botany,New South Wales
2019,2024,11374,95.0,0.008352382627044136,117011321,Botany,New South Wales
2019,2025,11582,153.0,0.01321015368675531,117011321,Botany,New South Wales
2020,2021,21446,12.0,0.0005595449034785042,117011325,Sydney Airport,New South Wales
2020,2022,23674,65.0,0.0027456281152319,117011325,Sydney Airport,New South Wales
2020,2023,29670,312.0,0.010515672396359959,117011325,Sydney Airport,New South Wales
