Postcode,year,total_fleet,bev_count,adoption_rate,SA2_CODE21,SA2_NAME21,STE_NAME21,SA3_NAME21,SA4_NAME21,GCC_NAME21,AREASQKM21,incentive_aud,charger_stations,total_plugs,ac_stations,dc_stations,has_dc_charger,max_power_kw,has_charging_data,nsw_comprehensive_data,median_income_weekly,median_age,apartment_ratio,total_dwellings,bev_count_lag1,adoption_rate_lag1,bev_growth_rate,plugs_per_1000_vehicles,fleet_density
0834,2024,1623,6.0,0.0036968576709796672,701031034,Virginia,Northern Territory,Litchfield,Darwin,Greater Darwin,54.7364,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2153.0,41,0.09562841530054644,1098,4.0,0.0025412960609911056,0.5,0.0,29.651201028931386
0834,2025,1619,9.0,0.005558987029030266,701031034,Virginia,Northern Territory,Litchfield,Darwin,Greater Darwin,54.7364,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2153.0,41,0.09562841530054644,1098,6.0,0.0036968576709796672,0.5,0.0,29.578123515613008
0835,2021,2923,0.0,0.0,701031031,Howard Springs,Northern Territory,Litchfield,Darwin,Greater Darwin,118.021,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2442.0,36,0.002717391304347826,1104,0.0,0.0,0.0,0.0,24.766778793604526
0835,2022,2900,0.0,0.0,701031031,Howard Springs,Northern Territory,Litchfield,Darwin,Greater Darwin,118.021,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2442.0,36,0.002717391304347826,1104,0.0,0.0,0.0,0.0,24.571898221502952
0835,2023,2911,3.0,0.0010305736860185502,701031031,Howard Springs,Northern Territory,Litchfield,Darwin,Greater Darwin,118.021,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2442.0,36,0.002717391304347826,1104,0.0,0.0,0.0,0.0,24.66510197337762
0835,2024,2917,7.0,0.0023997257456290708,701031031,Howard Springs,Northern Territory,Litchfield,Darwin,Greater Darwin,118.021,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2442.0,36,0.002717391304347826,1104,3.0,0.0010305736860185502,1.3333333333333333,0.0,24.715940383491073
0835,2025,2965,16.0,0.005396290050590219,701031031,Howard Springs,Northern Territory,Litchfield,Darwin,Greater Darwin,118.021,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2442.0,36,0.002717391304347826,1104,7.0,0.0023997257456290708,1.2857142857142858,0.0,25.12264766439871
0836,2021,6680,3.0,0.0004491017964071856,701031032,Humpty Doo,Northern Territory,Litchfield,Darwin,Greater Darwin,157.4161,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2569.0,39,0.002287457110179184,2623,0.0,0.0,0.0,0.0,42.435303631585334
0836,2022,6970,3.0,0.000430416068866571,701031032,Humpty Doo,Northern Territory,Litchfield,Darwin,Greater Darwin,157.4161,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2569.0,39,0.002287457110179184,2623,3.0,0.0004491017964071856,0.0,0.0,44.277554837148166
0836,2023,7175,4.0,0.0005574912891986063,701031032,Humpty Doo,Northern Territory,Litchfield,Darwin,Greater Darwin,157.4161,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2569.0,39,0.002287457110179184,2623,3.0,0.000430416068866571,0.3333333333333333,0.0,45.57983586177018
